NAME,ABBREVIATION,INDUSTRY,DESCRIPTION
Apple,AAPL,Technology,NA
AMC Entertainment,AMC,Entertainment,NA
Advanced Micro Devices,AMD,Technology,NA
Amazon,AMZN,Retail,NA
Broadcom,AVGO,Technology,NA
Costco,COST,Retail,NA
Disney,DIS,Entertainment,NA
Ford,F,Transportation,NA
Glass House Brands,GLASF,Cannabis,NA
Google Class C,GOOG,NA,NA
Google Class A,GOOGL,NA,NA
iShares US Treasury Bond ETF,GOVT,Debt,NA
Johnson & Johnson,JNJ,Medicine,NA
J.P. Morgan,JPM,Finance,NA
Coca-Cola,KO,NA,NA
Eli Lilly,LLY,Pharmaceuticals,NA
Mastercard,MA,NA,NA
Meta,META,Technology,NA
Microsoft,MSFT,Technology,NA
Netflix,NFLX,Entertainment,NA
Nvidia,NVDA,NA,NA
Oracle,ORCL,NA,NA
Procter & Gamble,PG,NA,NA
Rivian,RIVN,NA,NA
Tesla,TSLA,Transportation,NA
Tigo Energy,TYGO,Energy,NA
Visa,V,NA,NA
Walmart,WMT,Retail,NA
Woodward,WWD,Energy,NA
Exxon Mobile,XOM,Oil,NA
